X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,013479085,-162.3948,24.300,137.20,-0.0372,-0.0373,0.018621,,,,,
0d - 00:00:00,013544200,-161.4337,20.799,140.08,-0.0465,0.009313,0,,,,,
0d - 00:00:00,013609315,-160.4382,17.058,142.83,-0.0465,0,-0.0093,,,,,
0d - 00:00:00,013674430,-159.1682,13.077,145.58,-0.1301,0,0.018621,,,,,
0d - 00:00:00,013739545,-157.5206,9.198,147.99,-0.0465,0,-0.0093,,,,,
0d - 00:00:00,013804660,-155.8043,5.080,150.40,-0.0372,0.009313,0.04655,,,,,
0d - 00:00:00,013869775,-153.0926,0.6178,152.22,-0.0557,0.009313,0.009311,,,,,
0d - 00:00:00,013934890,-151.2047,-3.7068,154.93,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,014000005,-149.9003,-7.1047,157.06,-0.0093,0.018626,0.03724,,,,,
0d - 00:00:00,014065120,-147.7721,-10.7085,158.58,-0.0372,-0.0186,-0.0093,,,,,
0d - 00:00:00,014130235,-144.9574,-14.9987,160.33,-0.0279,0.018626,0.009311,,,,,
0d - 00:00:00,014195350,-142.1083,-19.1860,161.95,-0.0186,0,0.018621,,,,,
0d - 00:00:00,014260465,-139.5339,-22.9614,163.11,-0.0279,0,0.018621,,,,,
0d - 00:00:00,014325580,-136.7192,-26.7025,164.28,-0.0372,-0.0279,0.027932,,,,,
0d - 00:00:00,014390695,-133.8015,-30.5123,165.38,-0.0279,-0.0093,0.018621,,,,,
0d - 00:00:00,014455810,-130.3690,-35.0771,166.45,-0.0557,-0.0279,0,,,,,
0d - 00:00:00,014520925,-126.4902,-39.7449,167.55,-0.0465,0,0.018621,,,,,
0d - 00:00:00,014586040,-123.5038,-43.8979,168.99,-0.0650,0.027939,0.018621,,,,,
0d - 00:00:00,014651155,-120.0713,-48.1881,169.44,-0.0557,0.009313,0.009311,,,,,
0d - 00:00:00,014716270,-115.9865,-51.8949,169.20,-0.0372,0,0.009311,,,,,
0d - 00:00:00,014781385,-112.6226,-54.9839,169.20,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,014846500,-109.6362,-58.3131,169.51,-0.0186,0,0.018621,,,,,
0d - 00:00:00,014911615,-105.9634,-62.2945,169.58,-0.0279,0.009313,0.027932,,,,,
0d - 00:00:00,014976730,-101.3294,-66.7907,169.51,-0.0093,-0.0186,0.009311,,,,,
0d - 00:00:00,015041845,-97.0730,-71.0466,169.54,0,-0.0093,0.027932,,,,,
0d - 00:00:00,015106960,-93.2972,-74.7877,169.44,-0.0557,-0.0186,0.018621,,,,,
0d - 00:00:00,015172075,-89.1438,-78.4259,169.06,-0.0372,0.009313,0.009311,,,,,
0d - 00:00:00,015237190,-85.0247,-82.1670,168.65,-0.0093,0,0.009311,,,,,
0d - 00:00:00,015302305,-80.7340,-86.1140,168.34,-0.0279,-0.0279,-0.0093,,,,,
0d - 00:00:00,015367420,-76.8209,-89.7178,168.20,-0.0093,-0.0093,-0.0093,,,,,
0d - 00:00:00,015432535,-73.3883,-93.0127,168.03,-0.0465,0.03725,0.027932,,,,,
0d - 00:00:00,015497650,-69.9214,-96.3420,167.82,-0.0372,-0.0093,-0.0093,,,,,
0d - 00:00:00,015562765,-65.4591,-100.4263,167.24,-0.0279,0.009313,0,,,,,
0d - 00:00:00,015627880,-60.6535,-104.5106,166.55,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,015692995,-55.9852,-108.6979,166.24,-0.0093,-0.0186,0,,,,,
0d - 00:00:00,015758109,-51.6258,-113.1255,166.28,-0.0557,0.018626,0.027932,,,,,
0d - 00:00:00,015823225,-47.3694,-117.4157,166.14,0,0.018626,0,,,,,
0d - 00:00:00,015888340,-43.4563,-120.8136,165.80,-0.0186,-0.0466,0,,,,,
0d - 00:00:00,015953454,-40.0581,-123.7653,165.18,0.009291,-0.0279,0.027932,,,,,
0d - 00:00:00,016018570,-36.7971,-126.3394,164.39,-0.0465,-0.0093,0.018621,,,,,
0d - 00:00:00,016083685,-33.5705,-128.9136,163.63,0,0,0.018621,,,,,
0d - 00:00:00,016148800,-30.3439,-131.6250,162.84,-0.0093,0,0,,,,,
0d - 00:00:00,016213914,-26.9457,-134.5081,162.12,-0.0372,0,-0.0372,,,,,
0d - 00:00:00,016279030,-23.4788,-137.5971,161.43,0.018581,0.018626,0.018621,,,,,
0d - 00:00:00,016344145,-19.9089,-140.4801,160.67,-0.0093,0,0,,,,,
0d - 00:00:00,016409259,-16.1331,-143.3288,159.51,-0.0186,0,0.009311,,,,,
0d - 00:00:00,016474375,-12.0483,-145.9716,157.86,0.018581,0.009313,0,,,,,
0d - 00:00:00,016539490,-8.4098,-148.1339,156.31,-0.1115,0.009313,0.018621,,,,,
0d - 00:00:00,016604000,,,,,,,121.75,122.03,122.01,0.07962,
0d - 00:00:00,016604605,-4.8742,-150.3992,154.69,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,016669000,-0.5492,-152.2869,151.91,-0.0093,-0.0093,0.027932,,,,,
0d - 00:00:00,016734110,4.016,-154.5865,149.81,-0.0186,0,0.027932,,,,,
0d - 00:00:00,016799220,7.414,-156.7831,148.30,-0.0093,-0.0093,0.009311,,,,,
0d - 00:00:00,016864330,11.362,-158.7394,146.13,0,0.009313,0.03724,,,,,
0d - 00:00:00,016929440,15.653,-160.5928,143.52,-0.0093,-0.0186,-0.0372,,,,,
0d - 00:00:00,016994550,19.394,-162.0344,140.87,0,-0.0186,0.009311,,,,,
0d - 00:00:00,017059660,22.998,-163.0983,138.05,-0.0465,-0.0279,0.027932,,,,,
0d - 00:00:00,017124770,26.534,-164.1280,135.37,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,017189880,30.069,-165.0204,132.49,0.027872,-0.0093,0.009311,,,,,
0d - 00:00:00,017254990,34.36,-165.8784,128.57,-0.0372,0,0.018621,,,,,
0d - 00:00:00,017320100,39.61,-166.9081,124.48,-0.0279,-0.0745,0,,,,,
0d - 00:00:00,017385210,44.28,-168.5212,121.45,0,-0.0093,0,,,,,
0d - 00:00:00,017450320,48.12,-169.3793,118.60,0.03716,0.027939,0,,,,,
0d - 00:00:00,017515430,50.84,-169.4479,115.74,0.009291,-0.0093,0.009311,,,,,
0d - 00:00:00,017580540,54.10,-169.2763,112.03,0.009291,-0.0093,0.027932,,,,,
0d - 00:00:00,017645650,57.74,-169.1733,108.53,0.009291,-0.0186,0.018621,,,,,
0d - 00:00:00,017710760,61.10,-169.2077,104.92,0,0.009313,-0.0186,,,,,
0d - 00:00:00,017775870,65.46,-169.3106,100.24,0.009291,0,-0.0093,,,,,
0d - 00:00:00,017840980,70.37,-169.3793,95.77,-0.0093,-0.0186,-0.0186,,,,,
0d - 00:00:00,017906090,73.77,-169.3450,92.88,0.06504,0,0,,,,,
0d - 00:00:00,017971200,76.41,-169.2763,89.76,-0.0093,-0.0279,0.018621,,,,,
