X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,011783353,-165.3811,122.43,42.21,-0.0372,0,0,,,,,
0d - 00:00:00,011848454,-168.4018,121.16,46.65,-0.0650,0.018626,-0.0372,,,,,
0d - 00:00:00,011913555,-169.8778,117.79,50.57,-0.0372,0.018626,-0.0559,,,,,
0d - 00:00:00,011978656,-169.0883,113.88,53.49,0,-0.0373,0,,,,,
0d - 00:00:00,012043757,-168.8824,110.89,56.41,-0.0372,-0.0279,-0.0466,,,,,
0d - 00:00:00,012108858,-167.2347,105.06,60.67,0.04645,-0.0093,0,,,,,
0d - 00:00:00,012173959,-165.9990,98.74,66.07,-0.1115,0.10244,0.009311,,,,,
0d - 00:00:00,012239060,-167.9556,96.38,70.51,-0.0372,-0.0279,-0.0838,,,,,
0d - 00:00:00,012304161,-170.7016,95.07,74.25,-0.1115,0.009313,-0.0372,,,,,
0d - 00:00:00,012369262,-171.1822,92.19,77.04,0,-0.0279,0.009311,,,,,
0d - 00:00:00,012434363,-170.0494,88.69,79.48,0,-0.0466,0.05586,,,,,
0d - 00:00:00,012499464,-169.2599,84.26,83.50,-0.0650,0.009313,0.03724,,,,,
0d - 00:00:00,012564565,-168.6078,78.36,88.97,-0.0093,0.009313,0.009311,,,,,
0d - 00:00:00,012629666,-168.4361,73.38,93.19,-0.0186,0.027939,-0.0093,,,,,
0d - 00:00:00,012694767,-168.1272,69.43,97.28,-0.0372,-0.0093,-0.0093,,,,,
0d - 00:00:00,012759868,-168.1959,65.11,101.62,-0.1951,-0.0186,0,,,,,
0d - 00:00:00,012824969,-168.0242,61.20,104.95,-0.0372,-0.0745,0,,,,,
0d - 00:00:00,012890070,-167.4407,58.04,107.60,0.018581,0.018626,-0.0838,,,,,
0d - 00:00:00,012955171,-166.7542,54.19,110.97,-0.0929,0.03725,0.009311,,,,,
0d - 00:00:00,013020272,-166.1020,49.73,114.85,-0.0372,-0.0745,-0.0186,,,,,
0d - 00:00:00,013085373,-165.7244,45.96,118.19,-0.1394,-0.0186,0.027932,,,,,
0d - 00:00:00,013150474,-165.2439,42.39,121.28,-0.0186,0.009313,-0.0279,,,,,
0d - 00:00:00,013215575,-164.6603,38.75,124.48,-0.0093,0.027939,0,,,,,
0d - 00:00:00,013280676,-164.0768,35.08,127.71,0.009291,0,-0.0093,,,,,
0d - 00:00:00,013345777,-163.4932,31.75,130.42,-0.0093,0.04656,0,,,,,
0d - 00:00:00,013410878,-162.8067,28.487,133.24,-0.0372,-0.0279,0.009311,,,,,
0d - 00:00:00,013475979,-162.1545,25.021,136.20,-0.0093,0,0.009311,,,,,
0d - 00:00:00,013541080,-161.1934,21.486,139.22,0,0.027939,0.018621,,,,,
0d - 00:00:00,013606181,-160.3353,17.882,141.87,-0.0743,0,0,,,,,
0d - 00:00:00,013671282,-158.9966,14.106,144.62,-0.0279,0,0.009311,,,,,
0d - 00:00:00,013736383,-157.4519,9.679,147.47,-0.0743,-0.0093,0.009311,,,,,
0d - 00:00:00,013801484,-155.8043,5.629,149.85,-0.0372,-0.0093,0.009311,,,,,
0d - 00:00:00,013866585,-153.6074,1.5445,151.80,-0.0186,0.018626,-0.0279,,,,,
0d - 00:00:00,013931686,-151.2047,-3.1233,154.35,-0.1022,-0.0279,0.03724,,,,,
0d - 00:00:00,013996787,-149.3167,-7.2420,156.38,-0.0279,-0.1024,0.009311,,,,,
0d - 00:00:00,014061888,-144.8544,-10.7085,154.62,0.009291,0.009313,0.11173,,,,,
0d - 00:00:00,014126989,-141.5934,-14.8958,157.72,-0.1022,0.018626,0.027932,,,,,
0d - 00:00:00,014192090,-142.1427,-20.2157,163.87,-0.0093,-0.0093,0.009311,,,,,
0d - 00:00:00,014257191,-140.1861,-24.6089,164.87,-0.0557,-0.0093,0.009311,,,,,
0d - 00:00:00,014322292,-135.8267,-27.2517,163.60,-0.0743,-0.0093,-0.0093,,,,,
0d - 00:00:00,014387393,-133.4583,-30.5809,165.45,-0.0372,-0.0373,-0.0093,,,,,
0d - 00:00:00,014452494,-130.8495,-35.2831,167.03,-0.0372,0.04656,0.027932,,,,,
0d - 00:00:00,014517595,-126.4558,-39.4017,166.93,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,014582696,-123.1606,-43.4174,168.20,-0.0465,0,0.009311,,,,,
0d - 00:00:00,014647797,-119.6593,-48.4627,169.51,-0.0372,0,0.027932,,,,,
0d - 00:00:00,014712898,-115.6776,-52.5127,169.27,-0.0465,-0.0373,-0.0186,,,,,
0d - 00:00:00,014777999,-112.1077,-55.0526,168.72,-0.1672,0.03725,0,,,,,
0d - 00:00:00,014843100,-108.8811,-58.4504,168.10,-0.0372,-0.1118,0.027932,,,,,
0d - 00:00:00,014908201,-103.1487,-61.6767,165.97,-0.0743,-0.0279,-0.0186,,,,,
0d - 00:00:00,014973302,-99.3729,-65.9670,167.38,0.009291,0.018626,0,,,,,
0d - 00:00:00,015038403,-97.2790,-71.4242,170.81,-0.0836,0.027939,0,,,,,
0d - 00:00:00,015103504,-94.0524,-76.0576,171.36,-0.0279,-0.0186,0.04655,,,,,
0d - 00:00:00,015168605,-89.5900,-78.9064,169.58,-0.0650,-0.0093,-0.0093,,,,,
0d - 00:00:00,015233706,-85.1277,-82.0297,168.68,-0.0279,-0.0279,0.009311,,,,,
0d - 00:00:00,015298807,-80.7683,-86.1483,168.34,-0.0836,0,0.018621,,,,,
0d - 00:00:00,015363908,-76.7866,-89.6492,168.06,0.03716,-0.0093,0.018621,,,,,
0d - 00:00:00,015429009,-73.7659,-92.6695,168.27,0,0.018626,0.027932,,,,,
0d - 00:00:00,015494110,-70.7452,-96.2047,168.86,0.009291,-0.0093,0,,,,,
0d - 00:00:00,015559211,-67.0037,-100.0831,168.48,-0.0372,0,0.018621,,,,,
0d - 00:00:00,015624312,-62.7130,-103.2750,167.31,-0.0093,-0.0093,0.03724,,,,,
0d - 00:00:00,015689413,-58.6283,-106.5356,166.59,0.009291,0,-0.0466,,,,,
0d - 00:00:00,015754514,-53.7883,-111.0661,166.24,0.07433,-0.0093,0.027932,,,,,
0d - 00:00:00,015819614,-48.5708,-115.9742,165.97,-0.0372,0.10244,0.009311,,,,,
0d - 00:00:00,015884716,-44.3488,-119.7153,165.66,-0.0186,-0.0093,-0.0466,,,,,
0d - 00:00:00,015949817,-40.9505,-122.8386,165.38,-0.1208,-0.0093,0.05586,,,,,
0d - 00:00:00,016014918,-37.8612,-125.6187,164.66,-0.0279,-0.0279,0.027932,,,,,
0d - 00:00:00,016080019,-34.6003,-127.9869,163.60,-0.0557,-0.0466,0.03724,,,,,
0d - 00:00:00,016145119,-31.2707,-130.3208,162.39,-0.0650,0,0.08380,,,,,
0d - 00:00:00,016210221,-28.0098,-133.0666,161.77,-0.1301,-0.0186,0,,,,,
0d - 00:00:00,016275321,-24.5772,-136.1899,161.09,0.009291,0.027939,0,,,,,
0d - 00:00:00,016340423,-20.7327,-139.2445,160.33,0.009291,-0.0093,-0.0559,,,,,
0d - 00:00:00,016405524,-16.9912,-142.2992,159.33,-0.0372,-0.0279,0.009311,,,,,
0d - 00:00:00,016470625,-13.0094,-145.0450,157.72,-0.0372,-0.1024,-0.0279,,,,,
0d - 00:00:00,016535726,-9.0277,-147.3788,155.96,-0.0186,0.009313,0.03724,,,,,
0d - 00:00:00,016600826,-5.2175,-149.7471,154.45,0.05574,-0.0093,0.018621,,,,,
0d - 00:00:00,016601000,,,,,,,121.54,121.63,121.77,0.07584,
0d - 00:00:00,016666000,-0.7895,-151.9780,151.91,-0.0557,-0.0186,0.018621,,,,,
0d - 00:00:00,016731108,3.707,-154.1060,149.43,0,-0.0186,-0.0279,,,,,
0d - 00:00:00,016796216,7.586,-156.0623,147.44,0.04645,-0.0093,-0.0279,,,,,
0d - 00:00:00,016861324,12.186,-156.0623,142.39,0.05574,-0.0466,0.009311,,,,,
0d - 00:00:00,016926432,16.339,-158.0530,140.67,-0.0465,-0.0093,0,,,,,
0d - 00:00:00,016991540,19.772,-162.0344,140.94,-0.0372,0.009313,0.027932,,,,,
0d - 00:00:00,017056648,23.033,-163.8534,138.91,-0.0093,-0.0652,0.009311,,,,,
0d - 00:00:00,017121756,26.499,-164.3339,135.41,0,0,0.06517,,,,,
0d - 00:00:00,017186864,30.241,-165.1233,132.45,0.027872,-0.0186,0.018621,,,,,
0d - 00:00:00,017251972,34.84,-166.1530,128.19,-0.0093,-0.0559,0.009311,,,,,
0d - 00:00:00,017317080,40.09,-166.7365,123.55,-0.0186,-0.0093,0.04655,,,,,
0d - 00:00:00,017382188,44.49,-167.9721,120.76,-0.0465,-0.0186,0.009311,,,,,
0d - 00:00:00,017447296,48.36,-169.0361,118.01,0.027872,-0.0279,-0.0093,,,,,
0d - 00:00:00,017512404,51.42,-169.0361,114.82,0.06504,0.06519,0.018621,,,,,
0d - 00:00:00,017577512,54.20,-168.6242,111.86,0.11149,-0.0093,0.018621,,,,,
0d - 00:00:00,017642620,57.22,-168.1780,107.29,0.08362,0,0.03724,,,,,
0d - 00:00:00,017707728,62.20,-166.0844,100.45,0.018581,-0.0373,0,,,,,
0d - 00:00:00,017772836,66.52,-166.7022,97.46,0,-0.0093,-0.0372,,,,,
0d - 00:00:00,017837944,69.89,-169.2763,97.08,-0.0279,-0.0186,0.009311,,,,,
0d - 00:00:00,017903052,73.18,-170.7865,94.36,0,-0.0186,-0.0279,,,,,
